Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Total Annual Cost (USD),Total Program Cost (USD)
USA,Cambridge,Harvard University,Computer Science,Master,2.0,55400,83.5,2200,160,1500,1.0,59260,118520.0
UK,London,Imperial College London,Data Science,Master,1.0,41200,75.8,1800,485,800,0.79,44285,44285.0
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,38500,72.5,1600,235,900,1.35,41235,82470.0
Australia,Melbourne,University of Melbourne,Engineering,Master,2.0,42000,71.2,1400,450,650,1.52,44500,89000.0
Germany,Munich,Technical University of Munich,Mechanical Engineering,Master,2.0,500,70.5,1100,75,550,0.92,2225,4450.0
Japan,Tokyo,University of Tokyo,Information Science,Master,2.0,8900,76.4,1300,220,750,145.8,11170,22340.0
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,Master,1.0,15800,73.2,1500,180,720,0.92,18200,18200.0
Singapore,Singapore,National University of Singapore,Finance,Master,1.5,35000,81.1,1900,90,800,1.34,37790,56685.0
France,Paris,Sorbonne University,International Relations,Master,2.0,4500,74.6,1400,99,650,0.92,6649,13298.0
Switzerland,Zurich,ETH Zurich,Physics,Master,2.0,1460,91.5,2100,88,1200,0.89,4848,9696.0
Sweden,Stockholm,KTH Royal Institute,Sustainable Technology,Master,2.0,0,71.8,1200,110,400,10.45,1710,3420.0
Denmark,Copenhagen,University of Copenhagen,Bioinformatics,Master,2.0,0,73.4,1300,120,450,6.92,1870,3740.0
China,Beijing,Tsinghua University,Computer Engineering,Master,2.5,8900,52.3,800,140,400,7.18,10240,25600.0
South Korea,Seoul,Seoul National University,Digital Media,Master,2.0,7200,68.7,900,130,500,1320.5,8730,17460.0
Ireland,Dublin,Trinity College Dublin,Data Analytics,Master,1.0,28900,72.9,1600,150,650,0.92,31300,31300.0
South Korea,Busan,Pusan National University,Business,Bachelor,4.0,5900,62.4,700,130,500,1320.5,7230,28920.0
New Zealand,Auckland,University of Auckland,Marine Biology,Bachelor,3.0,28500,69.8,1200,245,600,1.64,30545,91635.0
Austria,Vienna,University of Vienna,Social Sciences,Bachelor,3.0,1500,67.4,950,160,500,0.92,3110,9330.0
Belgium,Brussels,KU Leuven,Biomedical Sciences,Bachelor,3.0,3500,68.9,1000,180,550,0.92,5230,15690.0
USA,Ann Arbor,University of Michigan,Aerospace Engineering,Bachelor,4.0,52300,72.5,1800,160,1500,1.0,55760,223040.0
USA,Atlanta,Georgia Tech,Industrial Engineering,Bachelor,4.0,43800,71.5,1700,160,1500,1.0,47160,188640.0
USA,Austin,UT Austin,Chemical Engineering,Bachelor,4.0,40900,72.4,1600,160,1500,1.0,44160,176640.0
UK,Bristol,University of Bristol,Mathematics,Bachelor,3.0,31200,69.8,1100,485,800,0.79,33585,100755.0
Canada,Ottawa,University of Ottawa,Political Science,Bachelor,4.0,28900,68.5,1300,235,900,1.35,31335,125340.0
Hong Kong,Hong Kong,HKUST,Finance,Bachelor,4.0,22000,78.6,1500,120,600,7.82,24220,96880.0
Portugal,Lisbon,University of Lisbon,Architecture,Bachelor,3.0,3500,58.4,800,120,450,0.92,4870,14610.0
Israel,Tel Aviv,Tel Aviv University,Computer Science,Bachelor,3.0,12000,76.2,1200,150,800,3.72,14150,42450.0
Taiwan,Taipei,National Taiwan University,Electronics Engineering,Bachelor,4.0,5200,62.8,700,140,450,31.2,6490,25960.0
Czech Republic,Prague,Charles University,Medicine,Bachelor,3.0,9800,54.6,650,100,400,22.5,10950,32850.0
USA,Stanford,Stanford University,Computer Science,PhD,5.0,54200,89.5,2300,160,1500,1.0,58160,290800.0
USA,Boston,MIT,Electrical Engineering,PhD,5.0,53800,83.2,2200,160,1500,1.0,57660,288300.0
UK,Oxford,University of Oxford,Biomedical Sciences,PhD,4.0,29800,74.5,1600,485,800,0.79,32685,130740.0
UK,Cambridge,University of Cambridge,Physics,PhD,4.0,31200,75.2,1700,485,800,0.79,34185,136740.0
Germany,Heidelberg,Heidelberg University,Molecular Biology,PhD,3.0,500,68.4,900,75,550,0.92,2025,6075.0
Switzerland,Basel,ETH Basel,Pharmaceutical Sciences,PhD,4.0,1500,88.6,1800,88,1200,0.89,4588,18352.0
Netherlands,Delft,TU Delft,Robotics,PhD,4.0,4800,71.8,1200,180,720,0.92,6900,27600.0
Singapore,Singapore,NTU Singapore,Data Science,PhD,4.0,8900,81.5,1600,90,800,1.34,11390,45560.0
Canada,Waterloo,University of Waterloo,Quantum Computing,PhD,4.0,21500,69.8,1300,235,900,1.35,23935,95740.0
Australia,Canberra,Australian National University,Climate Science,PhD,4.0,29800,70.2,1400,450,650,1.52,32300,129200.0
Sweden,Lund,Lund University,Neuroscience,PhD,4.0,0,69.5,1000,110,400,10.45,1510,6040.0
USA,San Diego,UC San Diego,Computer Science,Bachelor,4.0,44200,79.5,1900,160,1500,1.0,47760,191040.0
USA,Seattle,University of Washington,Computer Science,Master,2.0,38900,83.4,2000,160,1500,1.0,42560,85120.0
Canada,Edmonton,University of Alberta,Computer Science,PhD,4.0,22800,67.8,1200,235,900,1.35,25135,100540.0
UK,Glasgow,University of Glasgow,Computer Science,Master,1.0,33500,67.5,1100,485,800,0.79,35885,35885.0
India,Bangalore,Indian Institute of Science,Computer Science,Master,2.0,2500,45.6,500,200,300,83.2,3500,7000.0
Denmark,Aalborg,Aalborg University,Computer Science,Bachelor,3.0,0,69.8,900,120,450,6.92,1470,4410.0
Poland,Warsaw,University of Warsaw,Computer Science,Master,2.0,3800,51.2,650,80,350,4.02,4880,9760.0
Ireland,Galway,NUI Galway,Computer Science,Bachelor,4.0,25800,68.5,1100,150,650,0.92,27700,110800.0
South Korea,Daejeon,KAIST,Computer Science,PhD,4.0,6900,65.4,700,130,500,1320.5,8230,32920.0
Malaysia,Kuala Lumpur,University of Malaya,Computer Science,Bachelor,4.0,4800,48.2,500,110,300,4.72,5710,22840.0
USA,Berkeley,UC Berkeley,Computer Science,Bachelor,4.0,44900,84.2,2100,160,1500,1.0,48660,194640.0
UK,Manchester,University of Manchester,Economics,Bachelor,3.0,32000,68.4,1200,485,800,0.79,34485,103455.0
Canada,Vancouver,University of British Columbia,Psychology,Bachelor,4.0,31200,71.2,1700,235,900,1.35,34035,136140.0
Australia,Sydney,University of Sydney,Business,Bachelor,3.0,35000,72.8,1600,450,650,1.52,37700,113100.0
Germany,Berlin,Free University of Berlin,International Business,Bachelor,3.0,0,65.2,900,75,550,0.92,1525,4575.0
Spain,Barcelona,University of Barcelona,Architecture,Bachelor,4.0,2800,62.4,950,160,500,0.92,4410,17640.0
Italy,Milan,Politecnico di Milano,Design,Bachelor,3.0,4200,63.8,1100,120,650,0.92,6070,18210.0
Netherlands,Rotterdam,Erasmus University,Economics,Bachelor,3.0,11200,71.5,1300,180,720,0.92,13400,40200.0
Finland,Helsinki,University of Helsinki,Computer Science,Bachelor,3.0,0,70.2,1100,120,400,0.92,1620,4860.0
Norway,Oslo,University of Oslo,Environmental Science,Bachelor,3.0,0,75.6,1400,135,450,10.45,1985,5955.0
Japan,Osaka,Osaka University,Engineering,Bachelor,4.0,6800,71.2,900,220,750,145.8,8670,34680.0
Japan,Kyoto,Kyoto University,Computer Science,Master,2.0,8500,71.8,900,220,750,145.8,10370,20740.0
Japan,Nagoya,Nagoya University,Information Science,Bachelor,4.0,7800,68.5,750,220,750,145.8,9520,38080.0
Japan,Sendai,Tohoku University,Software Engineering,Master,2.0,8200,65.4,650,220,750,145.8,9820,19640.0
Japan,Fukuoka,Kyushu University,Computer Engineering,Bachelor,4.0,7500,64.8,600,220,750,145.8,9070,36280.0
Japan,Sapporo,Hokkaido University,Data Science,Master,2.0,8100,63.5,550,220,750,145.8,9620,19240.0
Japan,Tokyo,Tokyo Institute of Technology,Artificial Intelligence,PhD,3.0,8900,76.4,1100,220,750,145.8,10970,32910.0
Japan,Tsukuba,University of Tsukuba,Information Systems,Bachelor,4.0,7200,64.2,600,220,750,145.8,8770,35080.0
Japan,Kobe,Kobe University,Computer Science,Master,2.0,7900,67.8,700,220,750,145.8,9570,19140.0
Japan,Kanazawa,Kanazawa University,Software Engineering,Bachelor,4.0,7100,62.5,500,220,750,145.8,8570,34280.0
Japan,Hiroshima,Hiroshima University,Information Technology,Master,2.0,7600,63.8,550,220,750,145.8,9120,18240.0
Australia,Adelaide,University of Adelaide,Computer Science,Bachelor,3.0,32800,68.5,1100,450,650,1.52,35000,105000.0
Australia,Perth,University of Western Australia,Software Engineering,Master,2.0,34500,69.8,1200,450,650,1.52,36800,73600.0
Australia,Gold Coast,Griffith University,Information Technology,Bachelor,3.0,31200,67.5,1100,450,650,1.52,33400,100200.0
Australia,Hobart,University of Tasmania,Data Science,Master,2.0,30800,65.4,950,450,650,1.52,32850,65700.0
Australia,Newcastle,University of Newcastle,Computer Engineering,Bachelor,4.0,31500,66.8,1000,450,650,1.52,33600,134400.0
Australia,Wollongong,University of Wollongong,Artificial Intelligence,Master,2.0,32900,67.2,1050,450,650,1.52,35050,70100.0
Australia,Darwin,Charles Darwin University,Information Systems,Bachelor,3.0,29800,64.5,900,450,650,1.52,31800,95400.0
Australia,Townsville,James Cook University,Data Analytics,Master,2.0,31200,65.8,950,450,650,1.52,33250,66500.0
Australia,Sunshine Coast,USC,Software Development,Bachelor,3.0,29500,66.2,1000,450,650,1.52,31600,94800.0
Australia,Armidale,University of New England,Computing Science,Master,2.0,30500,64.8,850,450,650,1.52,32450,64900.0
Germany,Dresden,TU Dresden,Computer Science,Master,2.0,500,65.8,750,75,550,0.92,1875,3750.0
Germany,Stuttgart,University of Stuttgart,Software Engineering,Bachelor,3.0,450,68.5,850,75,550,0.92,1925,5775.0
Germany,Hamburg,TU Hamburg,Data Engineering,Master,2.0,500,71.2,950,75,550,0.92,2075,4150.0
Germany,Aachen,RWTH Aachen,Computer Engineering,Bachelor,3.0,500,66.4,700,75,550,0.92,1825,5475.0
Germany,Karlsruhe,KIT,Artificial Intelligence,Master,2.0,500,67.8,800,75,550,0.92,1925,3850.0
Germany,Darmstadt,TU Darmstadt,Information Systems,Bachelor,3.0,450,66.9,750,75,550,0.92,1825,5475.0
Germany,Braunschweig,TU Braunschweig,Software Systems,Master,2.0,500,64.5,650,75,550,0.92,1775,3550.0
Germany,Jena,University of Jena,Data Science,Bachelor,3.0,450,63.8,600,75,550,0.92,1675,5025.0
Germany,Hannover,Leibniz University,Digital Engineering,Master,2.0,500,66.2,750,75,550,0.92,1875,3750.0
Germany,Freiburg,University of Freiburg,Robotics & AI,Master,2.0,500,67.5,800,75,550,0.92,1925,3850.0
USA,Philadelphia,University of Pennsylvania,Computer Science,Master,2.0,51900,76.8,1900,160,1500,1.0,55460,110920.0
USA,Chicago,University of Chicago,Data Analytics,Master,2.0,52400,78.9,2000,160,1500,1.0,56060,112120.0
USA,Baltimore,Johns Hopkins,Artificial Intelligence,PhD,5.0,53600,72.5,1700,160,1500,1.0,56960,284800.0
USA,Nashville,Vanderbilt University,Computer Engineering,Bachelor,4.0,50800,71.2,1600,160,1500,1.0,54060,216240.0
USA,Durham,Duke University,Software Engineering,Master,2.0,51500,70.8,1500,160,1500,1.0,54660,109320.0
USA,Madison,University of Wisconsin,Computer Science,PhD,5.0,38200,69.5,1400,160,1500,1.0,41260,206300.0
USA,Tempe,Arizona State University,Information Technology,Bachelor,4.0,41200,70.2,1300,160,1500,1.0,44160,176640.0
USA,Boulder,University of Colorado,Data Science,Master,2.0,39800,71.5,1600,160,1500,1.0,43060,86120.0
USA,Minneapolis,University of Minnesota,Computer Science,Bachelor,4.0,42500,72.8,1500,160,1500,1.0,45660,182640.0
USA,Davis,UC Davis,Computer Engineering,Master,2.0,42800,73.5,1700,160,1500,1.0,46160,92320.0
UK,London,University College London,Computer Science,Master,1.0,39200,76.2,1900,485,800,0.79,42385,42385.0
UK,Leeds,University of Leeds,Software Engineering,Bachelor,3.0,28500,65.8,950,485,800,0.79,30735,92205.0
UK,Warwick,University of Warwick,Data Science,Master,1.0,36800,67.2,1000,485,800,0.79,39085,39085.0
UK,Sheffield,University of Sheffield,Artificial Intelligence,PhD,3.0,27900,64.5,850,485,800,0.79,30035,90105.0
UK,Birmingham,University of Birmingham,Computer Engineering,Bachelor,3.0,29500,66.8,950,485,800,0.79,31735,95205.0
UK,Southampton,University of Southampton,Cybersecurity,Master,1.0,32400,65.9,900,485,800,0.79,34585,34585.0
UK,Nottingham,University of Nottingham,Computer Science,Bachelor,3.0,28900,64.8,850,485,800,0.79,31035,93105.0
UK,Cardiff,Cardiff University,Software Development,Master,1.0,31200,64.2,800,485,800,0.79,33285,33285.0
UK,Belfast,Queen's University Belfast,Computing Systems,Bachelor,3.0,27500,63.5,750,485,800,0.79,29535,88605.0
UK,Newcastle,Newcastle University,Data Analytics,Master,1.0,30800,64.6,800,485,800,0.79,32885,32885.0
Canada,Hamilton,McMaster University,Software Engineering,Bachelor,4.0,32500,68.5,1200,235,900,1.35,34835,139340.0
Canada,London ON,Western University,Computer Science,Master,2.0,29800,65.8,1100,235,900,1.35,32035,64070.0
Canada,Halifax,Dalhousie University,Data Science,Master,2.0,28500,64.5,1200,235,900,1.35,30835,61670.0
Canada,Victoria,University of Victoria,Computer Engineering,Bachelor,4.0,27900,69.2,1300,235,900,1.35,30335,121340.0
Canada,Quebec City,Laval University,Artificial Intelligence,Master,2.0,21500,63.8,900,235,900,1.35,23535,47070.0
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4.0,26800,62.5,950,235,900,1.35,28885,115540.0
Canada,Regina,University of Regina,Software Systems,Bachelor,4.0,25500,61.8,900,235,900,1.35,27535,110140.0
Canada,St. John's,Memorial University,Computer Science,Master,2.0,19800,63.2,950,235,900,1.35,21885,43770.0
Canada,Saskatoon,University of Saskatchewan,Data Analytics,Master,2.0,24500,62.8,1000,235,900,1.35,26635,53270.0
Canada,Sherbrooke,Université de Sherbrooke,Computer Engineering,PhD,4.0,20500,61.5,850,235,900,1.35,22485,89940.0
USA,Pittsburgh,Carnegie Mellon,Computer Science,Master,2.0,51200,72.4,1800,160,1500,1.0,54660,109320.0
USA,Urbana-Champaign,UIUC,Computer Science,PhD,5.0,45800,68.5,1400,160,1500,1.0,48860,244300.0
Canada,Calgary,University of Calgary,Software Engineering,Bachelor,4.0,26500,69.2,1300,235,900,1.35,28935,115740.0
Brazil,Sao Paulo,University of Sao Paulo,Computer Science,Master,2.0,0,48.5,600,160,400,4.95,1160,2320.0
Turkey,Istanbul,Bogazici University,Computer Engineering,Bachelor,4.0,1800,42.8,450,100,300,30.5,2650,10600.0
Russia,Moscow,Moscow State University,Applied Mathematics,Master,2.0,3900,51.2,700,120,350,92.8,5070,10140.0
Mexico,Mexico City,UNAM,Computer Engineering,Bachelor,4.0,800,44.6,500,160,400,17.2,1860,7440.0
Greece,Athens,National Technical University,Software Engineering,Master,2.0,2500,54.8,550,120,400,0.92,3570,7140.0
Thailand,Bangkok,Chulalongkorn University,Computer Science,Bachelor,4.0,3800,46.5,450,140,300,35.2,4690,18760.0
UAE,Dubai,American University in Dubai,Computer Science,Bachelor,4.0,29500,72.4,1200,270,800,3.67,31770,127080.0
USA,New York,Columbia University,Data Science,Master,2.0,52800,100.0,2500,160,1500,1.0,56960,113920.0
USA,Ithaca,Cornell University,Computer Science,PhD,5.0,49800,70.5,1600,160,1500,1.0,53060,265300.0
China,Shenzhen,SUSTech,Artificial Intelligence,Master,2.0,8200,58.4,800,140,400,7.18,9540,19080.0
South Africa,Cape Town,University of Cape Town,Computer Science,Bachelor,3.0,5900,49.2,600,140,400,18.72,7040,21120.0
Egypt,Cairo,American University in Cairo,Computer Engineering,Bachelor,4.0,19800,38.4,450,130,350,30.9,20730,82920.0
Argentina,Buenos Aires,University of Buenos Aires,Software Engineering,Bachelor,5.0,0,42.6,400,150,300,821.5,850,4250.0
Indonesia,Jakarta,University of Indonesia,Information Systems,Bachelor,4.0,4200,45.8,500,130,300,15640.0,5130,20520.0
Saudi Arabia,Riyadh,King Saud University,Computer Science,Master,2.0,7800,52.4,800,250,600,3.75,9450,18900.0
Nigeria,Lagos,University of Lagos,Computer Engineering,Bachelor,4.0,2500,40.2,400,180,300,860.2,3380,13520.0
Vietnam,Ho Chi Minh City,HCMUT,Software Engineering,Bachelor,4.0,3200,43.6,450,120,250,24450.0,4020,16080.0
Netherlands,Eindhoven,TU Eindhoven,Computer Science,Master,2.0,15600,69.8,950,180,720,0.92,17450,34900.0
Netherlands,Enschede,University of Twente,Artificial Intelligence,Bachelor,3.0,11200,65.4,750,180,720,0.92,12850,38550.0
Netherlands,Groningen,University of Groningen,Computing Science,Master,2.0,14800,66.8,800,180,720,0.92,16500,33000.0
Netherlands,Maastricht,Maastricht University,Data Science,Bachelor,3.0,11500,67.2,850,180,720,0.92,13250,39750.0
Netherlands,Nijmegen,Radboud University,Software Science,Master,2.0,14500,66.5,800,180,720,0.92,16200,32400.0
Netherlands,Tilburg,Tilburg University,Information Systems,Bachelor,3.0,11300,65.8,750,180,720,0.92,12950,38850.0
Netherlands,Utrecht,Utrecht University,Game Technology,Master,2.0,15200,70.2,1000,180,720,0.92,17100,34200.0
Netherlands,Leiden,Leiden University,Computer Engineering,Bachelor,3.0,11400,69.5,950,180,720,0.92,13250,39750.0
Netherlands,Wageningen,Wageningen University,Bioinformatics,Master,2.0,14900,65.2,750,180,720,0.92,16550,33100.0
Netherlands,Amsterdam,VU Amsterdam,Business Analytics,Master,2.0,15400,73.5,1100,180,720,0.92,17400,34800.0
Singapore,Singapore,Nanyang Technological University,Computer Science,Bachelor,4.0,32500,81.1,1500,90,800,1.34,34890,139560.0
Singapore,Singapore,Singapore Management University,Information Systems,Bachelor,4.0,31800,81.1,1500,90,800,1.34,34190,136760.0
Singapore,Singapore,SUTD,Computer Science & Design,Bachelor,4.0,31200,81.1,1500,90,800,1.34,33590,134360.0
Singapore,Singapore,SIT,Software Engineering,Bachelor,4.0,29800,81.1,1500,90,800,1.34,32190,128760.0
Singapore,Singapore,NUS,Artificial Intelligence,Master,2.0,35600,81.1,1500,90,800,1.34,37990,75980.0
Singapore,Singapore,NTU,Data Science & AI,Master,2.0,34900,81.1,1500,90,800,1.34,37290,74580.0
Singapore,Singapore,SUTD,Technology & Innovation,Master,2.0,33800,81.1,1500,90,800,1.34,36190,72380.0
Singapore,Singapore,SMU,Computing & Innovation,Master,2.0,34200,81.1,1500,90,800,1.34,36590,73180.0
Singapore,Singapore,NUS,Computer Engineering,PhD,4.0,38500,81.1,1500,90,800,1.34,40890,163560.0
Singapore,Singapore,NTU,Digital Systems & AI,PhD,4.0,37900,81.1,1500,90,800,1.34,40290,161160.0
France,Paris,École Polytechnique,Computer Science,Master,2.0,15600,74.6,1500,99,650,0.92,17849,35698.0
France,Toulouse,INSA Toulouse,Software Engineering,Bachelor,3.0,4200,65.8,750,99,650,0.92,5699,17097.0
France,Lyon,École Normale Supérieure Lyon,Data Science,Master,2.0,4800,68.5,850,99,650,0.92,6399,12798.0
France,Grenoble,Grenoble INP,Artificial Intelligence,Master,2.0,4500,66.4,800,99,650,0.92,6049,12098.0
France,Nice,Université Nice Sophia Antipolis,Computer Engineering,Bachelor,3.0,3900,69.2,900,99,650,0.92,5549,16647.0
France,Bordeaux,University of Bordeaux,Information Systems,Master,2.0,4200,67.8,850,99,650,0.92,5799,11598.0
France,Lille,Université de Lille,Software Development,Bachelor,3.0,3800,65.5,750,99,650,0.92,5299,15897.0
France,Rennes,INSA Rennes,Cybersecurity,Master,2.0,4500,64.8,700,99,650,0.92,5949,11898.0
France,Strasbourg,University of Strasbourg,Digital Systems,Bachelor,3.0,3900,66.2,800,99,650,0.92,5449,16347.0
France,Montpellier,University of Montpellier,Data Engineering,Master,2.0,4100,65.9,750,99,650,0.92,5599,11198.0
Switzerland,Lausanne,EPFL,Computer Science,Master,2.0,1460,89.8,1900,88,1200,0.89,4648,9296.0
Switzerland,Geneva,University of Geneva,Data Science,Bachelor,3.0,1380,90.5,2000,88,1200,0.89,4668,14004.0
Switzerland,Bern,University of Bern,Software Engineering,Master,2.0,1420,85.4,1700,88,1200,0.89,4408,8816.0
Switzerland,St. Gallen,University of St. Gallen,Business Informatics,Bachelor,3.0,1440,86.2,1600,88,1200,0.89,4328,12984.0
Switzerland,Lugano,USI,Artificial Intelligence,Master,2.0,1460,84.5,1500,88,1200,0.89,4248,8496.0
Switzerland,Fribourg,University of Fribourg,Computer Engineering,Bachelor,3.0,1380,83.8,1400,88,1200,0.89,4068,12204.0
Switzerland,Neuchatel,University of Neuchatel,Information Systems,Master,2.0,1420,84.2,1500,88,1200,0.89,4208,8416.0
Switzerland,Basel,University of Basel,Computational Science,Master,2.0,1440,87.5,1800,88,1200,0.89,4528,9056.0
Switzerland,Lucerne,University of Lucerne,Digital Innovation,Bachelor,3.0,1380,85.8,1600,88,1200,0.89,4268,12804.0
Switzerland,Winterthur,ZHAW,Data Engineering,Master,2.0,1460,86.4,1700,88,1200,0.89,4448,8896.0
Denmark,Copenhagen,University of Copenhagen,Computer Science,Master,2.0,8800,83.2,1500,110,600,0.15,11010,22020.0
Denmark,Aarhus,Aarhus University,Data Science,Master,2.0,8600,77.4,1200,110,600,0.15,10510,21020.0
Denmark,Aalborg,Aalborg University,Software Engineering,Master,2.0,8400,75.1,1000,110,600,0.15,10110,20220.0
China,Beijing,Tsinghua University,Computer Science,Master,3.0,8900,51.2,800,140,400,7.15,10240,30720.0
China,Beijing,Peking University,Data Science,Master,3.0,8500,51.2,750,140,400,7.15,9790,29370.0
China,Shanghai,Fudan University,Software Engineering,Master,2.5,7800,48.9,700,140,400,7.15,9040,22600.0
China,Shanghai,Shanghai Jiao Tong University,Artificial Intelligence,Master,2.5,8200,48.9,720,140,400,7.15,9460,23650.0
China,Hangzhou,Zhejiang University,Computer Engineering,Master,3.0,7500,45.3,550,140,400,7.15,8590,25770.0
China,Nanjing,Nanjing University,Information Technology,Master,3.0,7200,44.1,500,140,400,7.15,8240,24720.0
China,Guangzhou,Sun Yat-sen University,Computer Science,Master,3.0,6900,43.8,480,140,400,7.15,7920,23760.0
China,Wuhan,Wuhan University,Software Engineering,Master,3.0,6500,41.2,450,140,400,7.15,7490,22470.0
China,Xi'an,Xi'an Jiaotong University,Data Science,Master,3.0,6300,40.5,420,140,400,7.15,7260,21780.0
China,Chengdu,Sichuan University,Computer Engineering,Master,3.0,6100,39.8,400,140,400,7.15,7040,21120.0
South Korea,Seoul,Seoul National University,Computer Science,Master,2.0,7200,85.1,950,90,800,1300.0,9040,18080.0
South Korea,Seoul,Korea University,Artificial Intelligence,Master,2.0,7000,85.1,920,90,800,1300.0,8810,17620.0
South Korea,Seoul,Yonsei University,Data Science,Master,2.0,6900,85.1,900,90,800,1300.0,8690,17380.0
South Korea,Seoul,Hanyang University,Software Engineering,Master,2.0,6500,85.1,850,90,800,1300.0,8240,16480.0
South Korea,Seoul,Sungkyunkwan University,Computer Engineering,Master,2.0,6400,85.1,840,90,800,1300.0,8130,16260.0
South Korea,Daejeon,KAIST,Robotics Engineering,Master,2.0,6800,75.4,700,90,800,1300.0,8390,16780.0
South Korea,Daejeon,Chungnam National University,Information Systems,Master,2.0,5900,75.4,650,90,800,1300.0,7440,14880.0
South Korea,Busan,Pusan National University,Computer Science,Master,2.0,5800,73.2,600,90,800,1300.0,7290,14580.0
South Korea,Busan,Dong-A University,Software Engineering,Master,2.0,5600,73.2,580,90,800,1300.0,7070,14140.0
South Korea,Daegu,Kyungpook National University,Data Analytics,Master,2.0,5500,71.8,550,90,800,1300.0,6940,13880.0
South Korea,Daegu,Yeungnam University,Computer Engineering,Master,2.0,5400,71.8,530,90,800,1300.0,6820,13640.0
South Korea,Gwangju,Chonnam National University,Information Technology,Master,2.0,5300,70.5,520,90,800,1300.0,6710,13420.0
South Korea,Gwangju,Chosun University,Computer Science,Master,2.0,5200,70.5,500,90,800,1300.0,6590,13180.0
South Korea,Ulsan,Ulsan National Institute of Science and Technology,AI Engineering,Master,2.0,6100,72.3,580,90,800,1300.0,7570,15140.0
South Korea,Ulsan,University of Ulsan,Software Systems,Master,2.0,5100,72.3,550,90,800,1300.0,6540,13080.0
South Korea,Pohang,POSTECH,Computer Engineering,Master,2.0,6300,71.2,570,90,800,1300.0,7760,15520.0
South Korea,Incheon,Incheon National University,Data Science,Master,2.0,5000,76.4,600,90,800,1300.0,6490,12980.0
South Korea,Suwon,Sungkyunkwan University (Suwon),Computer Systems,Master,2.0,5900,77.8,650,90,800,1300.0,7440,14880.0
South Korea,Daejeon,Hanbat National University,Information Security,Master,2.0,4900,75.4,540,90,800,1300.0,6330,12660.0
South Korea,Cheongju,Chungbuk National University,Computer Networks,Master,2.0,4800,70.1,520,90,800,1300.0,6210,12420.0
USA,Stanford,Stanford University,Computer Science,Bachelor,4.0,57000,95.2,2400,160,1500,1.0,61060,244240.0
USA,Cambridge,MIT,Computer Science,Bachelor,4.0,55800,83.5,2300,160,1500,1.0,59760,239040.0
USA,New Haven,Yale University,Computer Science,Bachelor,4.0,54500,79.8,2100,160,1500,1.0,58260,233040.0
USA,Princeton,Princeton University,Computer Science,Bachelor,4.0,54000,81.2,2000,160,1500,1.0,57660,230640.0
USA,Philadelphia,University of Pennsylvania,Computer Science,Bachelor,4.0,53500,82.4,1900,160,1500,1.0,57060,228240.0
USA,Los Angeles,UCLA,Computer Science,Bachelor,4.0,43000,88.7,2200,160,1500,1.0,46860,187440.0
USA,Berkeley,UC Berkeley,Computer Science,Bachelor,4.0,43500,91.5,2300,160,1500,1.0,47460,189840.0
USA,Ann Arbor,University of Michigan,Computer Science,Bachelor,4.0,52000,75.4,1700,160,1500,1.0,55360,221440.0
USA,Austin,University of Texas Austin,Computer Science,Bachelor,4.0,40500,72.8,1800,160,1500,1.0,43960,175840.0
USA,Seattle,University of Washington,Computer Science,Bachelor,4.0,39800,85.6,2000,160,1500,1.0,43460,173840.0
