Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Total Annual Cost (USD),Total Program Cost (USD)
Singapore,Singapore,SIM Global Education,Software Engineering,Bachelor,4.0,35000,83.8,1000,90,800,1.35,36890,147560.0
UAE,Ras Al Khaimah,RAK University,Computer Engineering,Master,2.0,22000,62.5,700,270,750,3.67,23720,47440.0
Brazil,Salvador,UFBA,Data Science,Master,2.0,0,46.8,380,90,400,4.95,870,1740.0
India,Kanpur,IIT Kanpur,Artificial Intelligence,PhD,4.0,1900,39.8,240,180,300,82.75,2620,10480.0
Thailand,Songkhla,Thaksin University,Computer Engineering,Bachelor,4.0,8500,42.5,270,80,350,35.25,9200,36800.0
Egypt,Aswan,Aswan University,Data Analytics,Master,2.0,1900,27.8,160,100,200,30.9,2360,4720.0
UAE,Fujairah,Fujairah University,Information Technology,Bachelor,4.0,21000,61.4,650,270,750,3.67,22670,90680.0
Iceland,Reykjavik,University of Iceland,Computer Science,Master,2.0,0,84.5,1200,140,900,137.5,2240,4480.0
Colombia,Bogota,Universidad Nacional,Software Engineering,Master,2.0,3500,41.2,400,80,300,3950.0,4280,8560.0
Poland,Warsaw,University of Warsaw,Data Science,PhD,4.0,3000,54.8,650,80,400,4.1,4130,16520.0
Romania,Bucharest,University Politehnica,Computer Engineering,Bachelor,3.0,2500,45.2,450,120,350,4.65,3420,10260.0
Luxembourg,Luxembourg City,University of Luxembourg,Artificial Intelligence,Master,2.0,400,83.2,1400,100,800,0.92,2700,5400.0
Indonesia,Jakarta,University of Indonesia,Information Systems,Master,2.0,5000,45.8,400,150,250,15600.0,5800,11600.0
Iceland,Akureyri,University of Akureyri,Data Analytics,Bachelor,3.0,0,78.4,900,140,900,137.5,1940,5820.0
Colombia,Medellin,Universidad de Antioquia,Computer Science,PhD,4.0,4000,38.5,350,80,300,3950.0,4730,18920.0
Poland,Krakow,Jagiellonian University,Software Development,Master,2.0,2800,52.4,600,80,400,4.1,3880,7760.0
Romania,Cluj-Napoca,Babes-Bolyai University,Data Science,Master,2.0,2200,43.8,400,120,350,4.65,3070,6140.0
Luxembourg,Esch-sur-Alzette,Luxembourg School of Business,Data Engineering,Master,2.0,400,79.5,1200,100,800,0.92,2500,5000.0
Indonesia,Bandung,Institut Teknologi Bandung,Computer Engineering,PhD,4.0,4500,42.4,300,150,250,15600.0,5200,20800.0
Iceland,Reykjavik,Reykjavik University,Robotics,Master,2.0,0,84.5,1150,140,900,137.5,2190,4380.0
Colombia,Cali,Universidad del Valle,Information Technology,Bachelor,4.0,3200,36.8,300,80,300,3950.0,3880,15520.0
Poland,Wroclaw,Wroclaw University of Technology,Artificial Intelligence,Master,2.0,2600,50.5,550,80,400,4.1,3630,7260.0
Romania,Timisoara,Politehnica University,Software Engineering,PhD,4.0,2400,42.5,380,120,350,4.65,3250,13000.0
Luxembourg,Belval,Luxembourg Institute of Science,Computer Science,Bachelor,3.0,400,78.4,1100,100,800,0.92,2400,7200.0
Indonesia,Yogyakarta,Gadjah Mada University,Data Science,Master,2.0,4000,40.2,250,150,250,15600.0,4650,9300.0
Iceland,Hafnarfjordur,Iceland University of Arts,Digital Design,Master,2.0,0,82.1,1000,140,900,137.5,2040,4080.0
Colombia,Barranquilla,Universidad del Norte,Computer Engineering,Master,2.0,3800,35.4,280,80,300,3950.0,4460,8920.0
Poland,Poznan,Adam Mickiewicz University,Computer Science,PhD,4.0,2700,51.2,580,80,400,4.1,3760,15040.0
Romania,Iasi,Alexandru Ioan Cuza University,Information Systems,Master,2.0,2100,41.8,350,120,350,4.65,2920,5840.0
Luxembourg,Kirchberg,Sacred Heart University,Data Analytics,Master,2.0,400,81.5,1300,100,800,0.92,2600,5200.0
Indonesia,Surabaya,Institut Teknologi Sepuluh,Software Engineering,Bachelor,4.0,3800,41.5,280,150,250,15600.0,4480,17920.0
Iceland,Kopavogur,Bifrost University,Digital Business,Bachelor,3.0,0,81.2,950,140,900,137.5,1990,5970.0
Colombia,Bucaramanga,UIS,Data Science,PhD,4.0,3500,34.8,260,80,300,3950.0,4140,16560.0
Poland,Gdansk,Gdansk University of Technology,Cybersecurity,Master,2.0,2500,49.8,520,80,400,4.1,3500,7000.0
Romania,Brasov,Transilvania University,Computer Engineering,Bachelor,4.0,2000,40.5,330,120,350,4.65,2800,11200.0
Luxembourg,Differdange,Miami University Dolibois,Information Technology,Master,2.0,400,77.8,1150,100,800,0.92,2450,4900.0
Indonesia,Malang,Brawijaya University,Artificial Intelligence,Master,2.0,3500,39.8,240,150,250,15600.0,4140,8280.0
Poland,Lodz,Lodz University of Technology,Software Engineering,Master,2.0,2400,48.5,500,80,400,4.1,3380,6760.0
Romania,Constanta,Ovidius University,Data Analytics,Master,2.0,1900,39.8,320,120,350,4.65,2690,5380.0
Luxembourg,Walferdange,European Business University,Digital Innovation,Bachelor,3.0,400,76.5,1100,100,800,0.92,2400,7200.0
Indonesia,Semarang,Diponegoro University,Computer Science,PhD,4.0,3200,38.5,220,150,250,15600.0,3820,15280.0
Iceland,Borgarnes,Agricultural University,Data Systems,Master,2.0,0,79.8,900,140,900,137.5,1940,3880.0
Colombia,Cartagena,Universidad de Cartagena,Information Systems,Master,2.0,3300,35.2,290,80,300,3950.0,3970,7940.0
Poland,Katowice,University of Silesia,Computer Engineering,Bachelor,3.0,2300,47.8,480,80,400,4.1,3260,9780.0
Romania,Craiova,University of Craiova,Software Development,PhD,4.0,2200,38.9,300,120,350,4.65,2970,11880.0
Luxembourg,Bertrange,Chamber of Commerce School,Business Analytics,Master,2.0,400,75.4,1050,100,800,0.92,2350,4700.0
Indonesia,Denpasar,Udayana University,Information Technology,Master,2.0,3000,37.9,200,150,250,15600.0,3600,7200.0
Tunisia,Tunis,University of Tunis,Computer Science,Master,2.0,1500,35.8,250,60,200,3.15,2010,4020.0
Cyprus,Nicosia,University of Cyprus,Data Science,Master,2.0,8000,65.4,600,100,500,0.92,9200,18400.0
Croatia,Zagreb,University of Zagreb,Software Engineering,PhD,4.0,4000,58.9,450,80,400,7.35,4930,19720.0
Dominican Republic,Santo Domingo,INTEC,Computer Engineering,Bachelor,4.0,6000,42.5,350,100,300,56.8,6750,27000.0
Morocco,Rabat,Mohammed V University,Information Systems,Master,2.0,2000,41.2,300,70,250,10.15,2620,5240.0
Peru,Lima,PUCP,Data Analytics,Master,2.0,8500,44.8,400,120,350,3.75,9370,18740.0
Argentina,Buenos Aires,University of Buenos Aires,Computer Science,PhD,4.0,0,42.5,350,90,280,275.0,720,2880.0
Tunisia,Sfax,University of Sfax,Artificial Intelligence,Master,2.0,1400,33.2,200,60,200,3.15,1860,3720.0
Cyprus,Limassol,Cyprus University of Technology,Software Development,Bachelor,4.0,7500,62.8,550,100,500,0.92,8650,34600.0
Croatia,Split,University of Split,Data Engineering,Master,2.0,3800,56.4,400,80,400,7.35,4680,9360.0
Dominican Republic,Santiago,PUCMM,Information Technology,Master,2.0,5500,40.2,300,100,300,56.8,6200,12400.0
Morocco,Casablanca,Hassan II University,Computer Engineering,PhD,4.0,2200,43.5,350,70,250,10.15,2870,11480.0
Peru,Arequipa,Universidad San Agustin,Software Engineering,Bachelor,4.0,7000,41.2,300,120,350,3.75,7770,31080.0
Argentina,Cordoba,National University of Cordoba,Data Science,Master,2.0,0,39.8,280,90,280,275.0,650,1300.0
Tunisia,Sousse,University of Sousse,Computer Systems,Bachelor,3.0,1300,32.5,180,60,200,3.15,1740,5220.0
Cyprus,Larnaca,American University Cyprus,Artificial Intelligence,PhD,4.0,8200,61.5,500,100,500,0.92,9300,37200.0
Croatia,Rijeka,University of Rijeka,Information Systems,Master,2.0,3500,54.8,380,80,400,7.35,4360,8720.0
Dominican Republic,La Romana,Universidad Central Este,Computer Science,Bachelor,4.0,5000,38.5,280,100,300,56.8,5680,22720.0
Morocco,Fez,University of Al Quaraouiyine,Data Analytics,Master,2.0,1800,39.8,250,70,250,10.15,2370,4740.0
Peru,Trujillo,Universidad Nacional de Trujillo,Software Development,PhD,4.0,7500,40.5,280,120,350,3.75,8250,33000.0
Argentina,Rosario,National University of Rosario,Computer Engineering,Master,2.0,0,38.5,260,90,280,275.0,630,1260.0
Tunisia,Monastir,University of Monastir,Data Science,PhD,4.0,1600,31.8,170,60,200,3.15,2030,8120.0
Cyprus,Famagusta,Eastern Mediterranean University,Software Engineering,Master,2.0,7800,59.8,480,100,500,0.92,8880,17760.0
Croatia,Osijek,University of Osijek,Computer Science,Bachelor,3.0,3200,52.5,350,80,400,7.35,4030,12090.0
Dominican Republic,San Pedro,UCNE,Information Systems,Master,2.0,4800,37.2,260,100,300,56.8,5460,10920.0
Morocco,Marrakech,Cadi Ayyad University,Artificial Intelligence,PhD,4.0,2100,40.5,280,70,250,10.15,2700,10800.0
Peru,Cusco,Universidad San Antonio Abad,Data Analytics,Master,2.0,6800,39.8,260,120,350,3.75,7530,15060.0
Argentina,La Plata,National University of La Plata,Software Development,Bachelor,4.0,0,37.5,240,90,280,275.0,610,2440.0
Tunisia,Gabes,University of Gabes,Computer Engineering,Master,2.0,1400,30.5,160,60,200,3.15,1820,3640.0
Croatia,Zadar,University of Zadar,Information Technology,PhD,4.0,3600,53.2,370,80,400,7.35,4450,17800.0
Cyprus,Paphos,Neapolis University,Data Science,Bachelor,3.0,7400,58.5,450,100,500,0.92,8450,25350.0
Dominican Republic,Puerto Plata,UTESA,Computer Science,PhD,4.0,4500,36.8,250,100,300,56.8,5150,20600.0
Morocco,Tangier,Abdelmalek Essaadi University,Software Engineering,Master,2.0,1900,38.9,260,70,250,10.15,2480,4960.0
Peru,Piura,Universidad de Piura,Information Systems,Master,2.0,7200,38.5,250,120,350,3.75,7920,15840.0
Argentina,Mendoza,National University of Cuyo,Data Analytics,PhD,4.0,0,36.8,230,90,280,275.0,600,2400.0
Tunisia,Bizerte,University of Carthage,Artificial Intelligence,Bachelor,3.0,1200,29.8,150,60,200,3.15,1610,4830.0
Cyprus,Girne,Girne American University,Computer Engineering,Master,2.0,7600,57.8,430,100,500,0.92,8630,17260.0
Croatia,Dubrovnik,University of Dubrovnik,Software Development,Master,2.0,3400,54.5,390,80,400,7.35,4270,8540.0
Morocco,Oujda,Mohammed I University,Computer Science,Bachelor,4.0,1700,37.5,240,70,250,10.15,2260,9040.0
Peru,Chiclayo,Universidad San Martin,Data Engineering,PhD,4.0,6500,37.8,240,120,350,3.75,7210,28840.0
Ecuador,Quito,Universidad San Francisco,Computer Science,Master,2.0,8500,45.8,400,100,300,1.0,9300,18600.0
Lebanon,Beirut,American University of Beirut,Data Science,Master,2.0,20000,58.9,600,150,500,15000.0,21250,42500.0
Bahrain,Manama,University of Bahrain,Software Engineering,Bachelor,4.0,7000,65.4,700,130,600,0.38,8430,33720.0
Uruguay,Montevideo,Universidad de la Republica,Computer Engineering,PhD,4.0,0,52.4,450,90,350,39.5,890,3560.0
Bulgaria,Sofia,Sofia University,Information Systems,Master,2.0,3500,48.5,400,110,300,1.85,4310,8620.0
Ghana,Accra,University of Ghana,Data Analytics,Master,2.0,4500,42.1,300,120,250,12.0,5170,10340.0
Algeria,Algiers,University of Science and Technology,Computer Science,Bachelor,3.0,1200,38.5,250,80,200,137.5,1730,5190.0
Panama,Panama City,Universidad Tecnologica,Artificial Intelligence,Master,2.0,7500,51.2,600,100,400,1.0,8600,17200.0
Ecuador,Guayaquil,ESPOL,Software Development,PhD,4.0,7800,43.2,350,100,300,1.0,8550,34200.0
Lebanon,Byblos,Lebanese American University,Data Engineering,Master,2.0,18000,55.4,500,150,500,15000.0,19150,38300.0
Bahrain,Riffa,Royal University for Women,Information Technology,Master,2.0,8000,63.2,650,130,600,0.38,9380,18760.0
Uruguay,Salto,Universidad ORT Uruguay,Computer Science,Master,2.0,6500,48.5,380,90,350,39.5,7320,14640.0
Bulgaria,Plovdiv,Plovdiv University,Data Science,Bachelor,3.0,3200,45.8,350,110,300,1.85,3960,11880.0
Ghana,Kumasi,Kwame Nkrumah University,Software Engineering,PhD,4.0,4200,39.8,250,120,250,12.0,4820,19280.0
Algeria,Oran,University of Oran,Computer Engineering,Master,2.0,1100,36.4,220,80,200,137.5,1600,3200.0
Panama,David,ISAE University,Data Analytics,Bachelor,4.0,6800,47.5,450,100,400,1.0,7750,31000.0
Ecuador,Cuenca,Universidad de Cuenca,Information Systems,Master,2.0,7200,42.5,320,100,300,1.0,7920,15840.0
Lebanon,Tripoli,Lebanese University,Computer Science,PhD,4.0,2000,52.1,400,150,500,15000.0,3050,12200.0
Bahrain,Isa Town,Bahrain Polytechnic,Software Development,Bachelor,4.0,6500,61.8,600,130,600,0.38,7830,31320.0
Uruguay,Maldonado,Universidad Catolica,Data Science,Master,2.0,7000,49.2,400,90,350,39.5,7840,15680.0
Bulgaria,Varna,Technical University Varna,Computer Engineering,Master,2.0,3100,44.2,330,110,300,1.85,3840,7680.0
Ghana,Cape Coast,University of Cape Coast,Information Technology,Master,2.0,4000,38.5,230,120,250,12.0,4600,9200.0
Algeria,Constantine,University of Constantine,Data Analytics,PhD,4.0,1300,35.8,200,80,200,137.5,1780,7120.0
Panama,Santiago,Universidad Latina,Computer Science,Master,2.0,6500,45.8,400,100,400,1.0,7400,14800.0
Ecuador,Loja,UTPL,Artificial Intelligence,Bachelor,3.0,6800,41.2,300,100,300,1.0,7500,22500.0
Lebanon,Jounieh,Holy Spirit University,Software Engineering,Master,2.0,16000,54.5,450,150,500,15000.0,17100,34200.0
Bahrain,Sakhir,Arabian Gulf University,Data Science,PhD,4.0,9000,62.4,620,130,600,0.38,10350,41400.0
Uruguay,Rivera,UTEC,Information Systems,Bachelor,4.0,0,47.8,350,90,350,39.5,790,3160.0
Bulgaria,Burgas,Burgas Free University,Computer Science,Master,2.0,2900,43.5,320,110,300,1.85,3630,7260.0
Ghana,Tamale,University for Development,Software Development,PhD,4.0,3800,36.8,200,120,250,12.0,4370,17480.0
Algeria,Annaba,Badji Mokhtar University,Computer Engineering,Master,2.0,1000,34.5,180,80,200,137.5,1460,2920.0
Panama,Chitré,Quality Leadership University,Data Analytics,Bachelor,3.0,6200,44.2,380,100,400,1.0,7080,21240.0
Ecuador,Ambato,Universidad Tecnica,Information Technology,PhD,4.0,6500,40.5,280,100,300,1.0,7180,28720.0
Lebanon,Sidon,Lebanese International,Computer Science,Bachelor,4.0,15000,51.8,420,150,500,15000.0,16070,64280.0
Bahrain,Muharraq,Applied Science University,Data Engineering,Master,2.0,7500,61.5,580,130,600,0.38,8810,17620.0
Uruguay,Paysandu,Universidad de Paysandu,Software Engineering,Master,2.0,0,46.5,330,90,350,39.5,770,1540.0
Bulgaria,Ruse,University of Ruse,Artificial Intelligence,PhD,4.0,3300,42.8,300,110,300,1.85,4010,16040.0
Ghana,Ho,University of Health Sciences,Data Science,Master,2.0,3500,35.4,180,120,250,12.0,4050,8100.0
Algeria,Tlemcen,University of Tlemcen,Information Systems,Bachelor,3.0,900,33.2,160,80,200,137.5,1340,4020.0
Panama,La Chorrera,Universidad Metropolitana,Computer Science,Master,2.0,6000,43.5,350,100,400,1.0,6850,13700.0
Bangladesh,Dhaka,Bangladesh University of Engineering,Computer Science,Master,2.0,2500,42.5,250,100,200,109.5,3050,6100.0
Kuwait,Kuwait City,Kuwait University,Data Science,Master,2.0,3500,71.2,800,140,700,0.31,5140,10280.0
Ukraine,Kyiv,Igor Sikorsky Kyiv Polytechnic,Software Engineering,Bachelor,4.0,3800,45.8,400,120,300,36.8,4620,18480.0
Slovenia,Ljubljana,University of Ljubljana,Computer Engineering,PhD,4.0,4500,62.4,500,80,450,0.92,5530,22120.0
Serbia,Belgrade,University of Belgrade,Information Systems,Master,2.0,2800,48.5,350,90,320,108.5,3560,7120.0
Iran,Tehran,Sharif University of Technology,Data Analytics,Master,2.0,3000,51.2,400,150,280,42150.0,3830,7660.0
Uzbekistan,Tashkent,INHA University Tashkent,Computer Science,Bachelor,4.0,4200,44.5,300,160,250,12300.0,4910,19640.0
El Salvador,San Salvador,Universidad Don Bosco,Software Development,Master,2.0,5500,46.8,400,110,300,1.0,6310,12620.0
Bangladesh,Chittagong,CUET,Artificial Intelligence,PhD,4.0,2200,39.8,200,100,200,109.5,2700,10800.0
Kuwait,Hawalli,American University Kuwait,Data Engineering,Master,2.0,15000,68.5,750,140,700,0.31,16590,33180.0
Ukraine,Lviv,Lviv Polytechnic,Computer Science,Master,2.0,3500,43.2,350,120,300,36.8,4270,8540.0
Slovenia,Maribor,University of Maribor,Data Science,Master,2.0,4200,58.5,450,80,450,0.92,5180,10360.0
Serbia,Novi Sad,University of Novi Sad,Software Engineering,PhD,4.0,2600,45.8,320,90,320,108.5,3330,13320.0
Iran,Isfahan,Isfahan University of Technology,Information Systems,Bachelor,3.0,2800,48.5,350,150,280,42150.0,3580,10740.0
Uzbekistan,Samarkand,Samarkand State University,Data Analytics,Master,2.0,3800,41.2,250,160,250,12300.0,4460,8920.0
El Salvador,Santa Ana,Universidad Catolica,Computer Engineering,Bachelor,4.0,5000,44.5,350,110,300,1.0,5760,23040.0
Bangladesh,Khulna,Khulna University,Software Development,Master,2.0,2100,38.5,180,100,200,109.5,2580,5160.0
Kuwait,Al Jahra,Gulf University for Science,Artificial Intelligence,PhD,4.0,14000,66.8,700,140,700,0.31,15540,62160.0
Ukraine,Kharkiv,Kharkiv Polytechnic,Data Science,Master,2.0,3400,42.5,330,120,300,36.8,4150,8300.0
Slovenia,Koper,University of Primorska,Information Technology,Bachelor,3.0,4000,57.2,420,80,450,0.92,4950,14850.0
Serbia,Nis,University of Nis,Computer Engineering,Master,2.0,2500,44.2,300,90,320,108.5,3210,6420.0
Iran,Mashhad,Ferdowsi University,Data Analytics,PhD,4.0,2900,47.8,320,150,280,42150.0,3650,14600.0
Uzbekistan,Bukhara,Bukhara State University,Computer Science,Bachelor,4.0,3500,39.8,220,160,250,12300.0,4130,16520.0
El Salvador,San Miguel,Universidad de Oriente,Information Systems,Master,2.0,4800,43.2,320,110,300,1.0,5530,11060.0
Bangladesh,Rajshahi,RUET,Software Engineering,Master,2.0,2000,37.2,170,100,200,109.5,2470,4940.0
Kuwait,Salmiya,Australian College Kuwait,Data Science,Bachelor,3.0,13500,65.4,680,140,700,0.31,15020,45060.0
Ukraine,Odesa,Odesa Polytechnic,Artificial Intelligence,PhD,4.0,3600,41.8,320,120,300,36.8,4340,17360.0
Slovenia,Nova Gorica,University of Nova Gorica,Computer Science,Master,2.0,4100,56.5,400,80,450,0.92,5030,10060.0
Serbia,Kragujevac,University of Kragujevac,Data Engineering,Bachelor,4.0,2400,43.5,280,90,320,108.5,3090,12360.0
Iran,Shiraz,Shiraz University,Software Development,Master,2.0,2700,46.8,300,150,280,42150.0,3430,6860.0
Uzbekistan,Namangan,Namangan Institute,Information Technology,Master,2.0,3400,38.5,200,160,250,12300.0,4010,8020.0
El Salvador,Sonsonate,Universidad de Sonsonate,Data Science,Bachelor,3.0,4500,42.8,300,110,300,1.0,5210,15630.0
Bangladesh,Sylhet,SUST,Computer Engineering,PhD,4.0,2300,36.8,160,100,200,109.5,2760,11040.0
Kuwait,Al Ahmadi,ACK,Software Engineering,Master,2.0,13000,64.5,650,140,700,0.31,14490,28980.0
Ukraine,Dnipro,Dnipro Polytechnic,Data Analytics,Master,2.0,3300,40.5,300,120,300,36.8,4020,8040.0
Slovenia,Celje,Faculty of Logistics,Information Systems,Bachelor,3.0,3900,55.4,380,80,450,0.92,4810,14430.0
Serbia,Subotica,University of Subotica,Computer Science,Master,2.0,2300,42.8,270,90,320,108.5,2980,5960.0
Iran,Tabriz,University of Tabriz,Artificial Intelligence,PhD,4.0,2600,45.5,280,150,280,42150.0,3310,13240.0
Uzbekistan,Andijan,Andijan State University,Software Development,Master,2.0,3200,37.8,180,160,250,12300.0,3790,7580.0
El Salvador,Santa Tecla,ITCA-FEPADE,Computer Engineering,Bachelor,4.0,4200,42.1,280,110,300,1.0,4890,19560.0
Malaysia,Kuala Lumpur,University of Malaya,Computer Science,Master,2.0,8500,55.4,500,120,400,4.65,9520,19040.0
Saudi Arabia,Riyadh,King Saud University,Data Science,PhD,4.0,5000,72.5,800,200,800,3.75,6800,27200.0
USA,Boston,Harvard University,Artificial Intelligence,Master,2.0,58000,82.1,2200,160,1500,1.0,61860,123720.0
UK,London,Imperial College,Computer Engineering,Master,2.0,42000,75.3,1800,485,800,0.79,45085,90170.0
Spain,Madrid,Universidad Politecnica,Software Engineering,PhD,4.0,3500,71.4,1100,80,750,0.92,5430,21720.0
Italy,Milan,Politecnico di Milano,Data Analytics,Master,2.0,4000,73.2,1200,120,700,0.92,6020,12040.0
France,Paris,Sorbonne University,Computer Science,Master,2.0,4500,84.3,1800,99,850,0.92,7249,14498.0
Malaysia,Penang,USM,Information Systems,Bachelor,3.0,7500,52.1,450,120,400,4.65,8470,25410.0
Saudi Arabia,Jeddah,King Abdulaziz University,Data Engineering,Master,2.0,4800,70.2,750,200,800,3.75,6550,13100.0
USA,Stanford,Stanford University,Computer Science,PhD,5.0,52000,84.3,2300,160,1500,1.0,55960,279800.0
UK,Cambridge,University of Cambridge,Artificial Intelligence,PhD,4.0,45000,71.5,1600,485,800,0.79,47885,191540.0
Spain,Barcelona,Universitat de Barcelona,Data Science,Master,2.0,3800,73.6,1000,80,750,0.92,5630,11260.0
Italy,Rome,Sapienza University,Software Engineering,Bachelor,3.0,3500,71.2,1100,120,700,0.92,5420,16260.0
France,Lyon,École Normale Supérieure,Computer Engineering,Master,2.0,4200,75.6,1200,99,850,0.92,6349,12698.0
Malaysia,Johor Bahru,UTM,Data Analytics,PhD,4.0,8000,51.8,400,120,400,4.65,8920,35680.0
Saudi Arabia,Dhahran,KFUPM,Computer Science,Master,2.0,4500,68.5,700,200,800,3.75,6200,12400.0
USA,Berkeley,UC Berkeley,Data Science,Master,2.0,54000,83.2,2000,160,1500,1.0,57660,115320.0
UK,Oxford,University of Oxford,Software Engineering,Master,2.0,40000,71.5,1400,485,800,0.79,42685,85370.0
Spain,Valencia,Universidad de Valencia,Information Systems,PhD,4.0,3200,68.5,800,80,750,0.92,4830,19320.0
Italy,Turin,Politecnico di Torino,Artificial Intelligence,Master,2.0,3800,69.8,900,120,700,0.92,5520,11040.0
France,Toulouse,INSA Toulouse,Data Engineering,PhD,4.0,4300,72.1,1000,99,850,0.92,6249,24996.0
Malaysia,Kuching,UNIMAS,Computer Science,Master,2.0,7000,49.5,380,120,400,4.65,7900,15800.0
Saudi Arabia,Medina,Islamic University,Software Development,Bachelor,4.0,4200,65.4,650,200,800,3.75,5850,23400.0
USA,MIT,Massachusetts,Robotics,PhD,5.0,56000,82.1,2100,160,1500,1.0,59760,298800.0
UK,Edinburgh,University of Edinburgh,Data Science,Master,2.0,38000,67.8,1100,485,800,0.79,40385,80770.0
Spain,Seville,Universidad de Sevilla,Computer Engineering,Master,2.0,3000,65.4,750,80,750,0.92,4580,9160.0
Italy,Bologna,University of Bologna,Information Systems,PhD,4.0,3600,70.5,950,120,700,0.92,5370,21480.0
France,Marseille,Aix-Marseille University,Artificial Intelligence,Master,2.0,4100,73.5,1100,99,850,0.92,6149,12298.0
Malaysia,Cyberjaya,Multimedia University,Data Analytics,Bachelor,3.0,7800,53.2,450,120,400,4.65,8770,26310.0
Saudi Arabia,Dammam,Imam Abdulrahman University,Computer Science,Master,2.0,4600,67.8,680,200,800,3.75,6280,12560.0
USA,New York,Columbia University,Data Science,Master,2.0,62000,100.0,2500,160,1500,1.0,66160,132320.0
UK,Manchester,University of Manchester,Software Engineering,PhD,4.0,35000,65.4,900,485,800,0.79,37185,148740.0
Spain,Granada,Universidad de Granada,Computer Science,Bachelor,3.0,2800,64.5,700,80,750,0.92,4330,12990.0
Italy,Florence,University of Florence,Data Engineering,Master,2.0,3500,71.2,1000,120,700,0.92,5320,10640.0
France,Bordeaux,University of Bordeaux,Information Systems,PhD,4.0,4300,72.1,1000,99,850,0.92,6249,24996.0
Malaysia,Bangi,UKM,Artificial Intelligence,Master,2.0,7200,51.5,420,120,400,4.65,8140,16280.0
Saudi Arabia,Taif,Taif University,Software Development,Master,2.0,4400,64.5,600,200,800,3.75,6000,12000.0
USA,Los Angeles,UCLA,Computer Engineering,PhD,5.0,52000,79.8,2200,160,1500,1.0,55860,279300.0
UK,Bristol,University of Bristol,Data Analytics,Master,2.0,36000,68.9,1200,485,800,0.79,38485,76970.0
Spain,Bilbao,University of the Basque Country,Information Technology,Master,2.0,3400,67.8,850,80,750,0.92,5080,10160.0
Italy,Naples,University of Naples,Computer Science,Bachelor,3.0,3200,67.8,800,120,700,0.92,4820,14460.0
France,Nice,University of Nice,Data Science,Master,2.0,4100,76.5,1300,99,850,0.92,6349,12698.0
Malaysia,Melaka,UTeM,Software Engineering,PhD,4.0,7500,50.2,400,120,400,4.65,8420,33680.0
Saudi Arabia,Tabuk,University of Tabuk,Computer Engineering,Bachelor,4.0,4100,63.2,580,200,800,3.75,5680,22720.0
USA,Chicago,University of Chicago,Artificial Intelligence,Master,2.0,58000,84.1,1900,160,1500,1.0,61560,123120.0
UK,Glasgow,University of Glasgow,Data Engineering,PhD,4.0,34000,64.5,950,485,800,0.79,36235,144940.0
Spain,Salamanca,University of Salamanca,Information Systems,Master,2.0,3100,62.1,600,80,750,0.92,4530,9060.0
Italy,Pisa,University of Pisa,Software Development,Master,2.0,3300,68.9,850,120,700,0.92,4970,9940.0
France,Lille,University of Lille,Computer Science,Bachelor,3.0,4200,69.8,950,99,850,0.92,6099,18297.0
Malaysia,Shah Alam,UiTM,Data Analytics,Master,2.0,7100,51.8,430,120,400,4.65,8050,16100.0
Saudi Arabia,Makkah,Umm Al-Qura University,Information Technology,PhD,4.0,4300,65.8,650,200,800,3.75,5950,23800.0
USA,San Francisco,Stanford University,Data Science,Master,2.0,55000,95.2,2400,160,1500,1.0,59060,118120.0
UK,Leeds,University of Leeds,Computer Engineering,Master,2.0,35000,63.2,900,485,800,0.79,37185,74370.0
Spain,Zaragoza,University of Zaragoza,Artificial Intelligence,PhD,4.0,2900,63.2,650,80,750,0.92,4380,17520.0
Italy,Padua,University of Padua,Software Engineering,Master,2.0,3400,69.5,900,120,700,0.92,5120,10240.0
France,Strasbourg,University of Strasbourg,Data Analytics,Master,2.0,4000,70.2,1000,99,850,0.92,5949,11898.0
Malaysia,Nilai,USIM,Computer Science,Bachelor,3.0,6800,50.5,400,120,400,4.65,7720,23160.0
Saudi Arabia,Al-Ahsa,King Faisal University,Information Systems,Master,2.0,4200,64.2,600,200,800,3.75,5800,11600.0
USA,Seattle,University of Washington,Software Development,PhD,5.0,50000,77.8,2000,160,1500,1.0,53660,268300.0
UK,Nottingham,University of Nottingham,Data Engineering,Master,2.0,34000,61.2,800,485,800,0.79,36085,72170.0
